"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Moncton, New Brunswick","2011S0503305","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824843","20.4.3","768","","","","0"
"2016","Moncton, New Brunswick","2011S0503305","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824843","20.4.3","809","","","","0"
"2017","Moncton, New Brunswick","2011S0503305","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824843","20.4.3","815","","","","0"
"2018","Moncton, New Brunswick","2011S0503305","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824843","20.4.3","842","","","","0"
"2019","Moncton, New Brunswick","2011S0503305","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824843","20.4.3","884","","","","0"
"2020","Moncton, New Brunswick","2011S0503305","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824843","20.4.3","966","","","","0"
"2021","Moncton, New Brunswick","2011S0503305","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824843","20.4.3","1063","","","","0"
"2022","Moncton, New Brunswick","2011S0503305","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824843","20.4.3","1132","","","","0"
"2023","Moncton, New Brunswick","2011S0503305","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824843","20.4.3","1249","","","","0"
"2024","Moncton, New Brunswick","2011S0503305","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824843","20.4.3","1377","","","","0"
"2025","Moncton, New Brunswick","2011S0503305","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824843","20.4.3","1484","","","","0"


